host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy
t,3,t,Hennepin,House,Entire home/apt,5,1,1,1,85,200,1,120,228,f,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,5,1,2,2,54,,2,21,160,f,strict_14_with_grace_period
t,2,f,Hennepin,House,Private room,3,1,2,2,54,,2,60,172,f,flexible
t,2,t,Hennepin,House,Entire home/apt,3,1.5,1,1,150,1000,2,180,31,f,moderate
f,1,t,Ramsey,Loft,Entire home/apt,4,1,1,2,65,,3,30,20,f,strict_14_with_grace_period
f,2,f,Washington,House,Entire home/apt,4,2.5,3,2,385,,14,730,2,f,flexible
f,1,t,Hennepin,House,Private room,2,1,1,1,170,,1,90,0,f,strict_14_with_grace_period
t,2,f,Hennepin,House,Private room,3,1,2,2,54,,2,31,17,f,flexible
t,7,f,Hennepin,House,Entire home/apt,12,2,5,6,457,250,1,365,107,t,strict_14_with_grace_period
t,7,f,Hennepin,House,Entire home/apt,7,2,3,4,100,200,30,730,2,f,strict_14_with_grace_period
t,5,f,Sherburne,Bed and breakfast,Private room,8,2,4,8,350,500,1,7,29,f,flexible
f,1,t,Hennepin,House,Private room,4,1,2,2,85,0,2,14,72,f,strict_14_with_grace_period
f,1,f,Hennepin,House,Private room,2,1,1,1,250,100,2,5,44,f,strict_14_with_grace_period
t,3,t,Ramsey,House,Private room,2,1,1,1,75,100,2,1125,21,f,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,4,1,1,2,79,,3,1125,24,t,moderate
f,1,t,Hennepin,House,Entire home/apt,5,1,3,3,60,200,4,14,3,f,moderate
t,1,f,Ramsey,House,Private room,5,1.5,1,3,52,150,1,40,117,f,flexible
f,1,t,Ramsey,Apartment,Entire home/apt,6,1,2,4,69,100,2,180,210,f,strict_14_with_grace_period
t,3,f,Hennepin,House,Private room,1,1,1,1,60,100,2,30,269,f,moderate
f,41,f,Hennepin,Apartment,Entire home/apt,4,1,1,2,89,100,2,365,12,f,moderate
f,41,f,Hennepin,Apartment,Entire home/apt,10,1,3,5,125,200,2,365,10,t,moderate
t,1,t,Anoka,House,Private room,1,1,1,1,35,100,1,14,19,f,moderate
f,41,f,Hennepin,House,Entire home/apt,8,1,4,7,449,300,2,365,4,f,moderate
t,7,f,Hennepin,House,Entire home/apt,12,2,4,7,310,400,1,365,45,f,strict_14_with_grace_period
