host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
t,3,t,Hennepin,House,Entire home/apt,5,1,1,1,Real Bed,85,200,2,30,1,120,228,95,f,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,5,1,2,2,Real Bed,54,,2,20,2,21,160,97,f,strict_14_with_grace_period
t,2,f,Hennepin,House,Private room,3,1,2,2,Real Bed,54,,1,10,2,60,172,96,f,flexible
t,2,t,Hennepin,House,Entire home/apt,3,1.5,1,1,Real Bed,150,1000,2,25,2,180,31,97,f,moderate
f,1,t,Ramsey,Loft,Entire home/apt,4,1,1,2,Futon,65,,2,25,3,30,20,97,f,strict_14_with_grace_period
f,2,f,Washington,House,Entire home/apt,4,2.5,3,2,Real Bed,385,,1,0,14,730,2,100,f,flexible
f,1,t,Hennepin,House,Private room,2,1,1,1,Real Bed,170,,1,75,1,90,0,,f,strict_14_with_grace_period
t,2,f,Hennepin,House,Private room,3,1,2,2,Real Bed,54,,1,10,2,31,17,100,f,flexible
t,7,f,Hennepin,House,Entire home/apt,12,2,5,6,Real Bed,457,250,10,0,1,365,107,99,t,strict_14_with_grace_period
t,7,f,Hennepin,House,Entire home/apt,7,2,3,4,Real Bed,100,200,2,20,30,730,2,100,f,strict_14_with_grace_period
t,5,f,Sherburne,Bed and breakfast,Private room,8,2,4,8,Real Bed,350,500,8,0,1,7,29,99,f,flexible
f,1,t,Hennepin,House,Private room,4,1,2,2,Real Bed,85,0,1,25,2,14,72,97,f,strict_14_with_grace_period
f,1,f,Hennepin,House,Private room,2,1,1,1,Real Bed,250,100,2,25,2,5,44,99,f,strict_14_with_grace_period
t,3,t,Ramsey,House,Private room,2,1,1,1,Real Bed,75,100,1,15,2,1125,21,97,f,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,4,1,1,2,Real Bed,79,,1,0,3,1125,24,97,t,moderate
f,1,t,Hennepin,House,Entire home/apt,5,1,3,3,Real Bed,60,200,1,0,4,14,3,,f,moderate
t,1,f,Ramsey,House,Private room,5,1.5,1,3,Real Bed,52,150,2,12,1,40,117,97,f,flexible
f,1,t,Ramsey,Apartment,Entire home/apt,6,1,2,4,Pull-out Sofa,69,100,1,10,2,180,210,94,f,strict_14_with_grace_period
t,3,f,Hennepin,House,Private room,1,1,1,1,Real Bed,60,100,1,0,2,30,269,96,f,moderate
f,41,f,Hennepin,Apartment,Entire home/apt,4,1,1,2,Real Bed,89,100,4,6,2,365,12,93,f,moderate
f,41,f,Hennepin,Apartment,Entire home/apt,10,1,3,5,Real Bed,125,200,6,6,2,365,10,78,t,moderate
t,1,t,Anoka,House,Private room,1,1,1,1,Real Bed,35,100,1,300,1,14,19,100,f,moderate
f,41,f,Hennepin,House,Entire home/apt,8,1,4,7,Real Bed,449,300,8,5,2,365,4,90,f,moderate
t,7,f,Hennepin,House,Entire home/apt,12,2,4,7,Real Bed,310,400,6,25,1,365,45,98,f,strict_14_with_grace_period
t,2,t,Ramsey,Castle,Private room,4,1.5,1,1,Real Bed,76,0,1,27,1,20,244,97,f,strict_14_with_grace_period
t,1,t,Hennepin,Apartment,Entire home/apt,5,1,1,2,Real Bed,79,0,3,25,3,250,145,97,f,moderate
f,1,f,Hennepin,Apartment,Private room,2,1,1,1,Couch,500,100,1,100,1,21,0,,f,strict_14_with_grace_period
f,1,f,Hennepin,Apartment,Private room,1,1,1,0,Real Bed,60,,1,25,3,14,61,97,f,moderate
f,41,f,Hennepin,Apartment,Entire home/apt,10,1,3,5,Real Bed,295,300,6,6,2,365,35,86,f,moderate
f,41,f,Anoka,Apartment,Entire home/apt,16,3,5,11,Real Bed,415,500,10,5,2,365,0,,f,moderate
f,41,f,Anoka,Apartment,Entire home/apt,6,1,0,3,Real Bed,111,200,2,6,2,365,12,76,t,moderate
t,2,t,Ramsey,Castle,Private room,2,1.5,1,1,Real Bed,52,0,1,20,1,20,173,99,f,strict_14_with_grace_period
t,2,t,Hennepin,House,Entire home/apt,8,2.5,4,5,Real Bed,225,1000,4,30,2,1125,210,99,t,strict_14_with_grace_period
t,3,t,Hennepin,House,Private room,1,1,1,1,Real Bed,36,100,1,15,1,9999,28,89,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,6,1,3,4,Real Bed,108,500,6,0,2,14,58,98,f,moderate
f,2,f,Washington,House,Entire home/apt,2,1,1,,Real Bed,125,,1,0,2,7,0,,f,flexible
t,2,t,Hennepin,House,Private room,2,1.5,1,1,Real Bed,125,1000,2,25,2,365,7,94,f,moderate
f,2,t,Hennepin,Other,Private room,2,1,1,1,Real Bed,40,500,1,0,365,1125,25,98,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Private room,2,1,1,1,Real Bed,45,,1,0,2,12,157,91,f,moderate
f,4,f,Washington,Bed and breakfast,Private room,16,1,1,1,Real Bed,100,,2,30,3,1125,1,100,f,flexible
f,4,f,Washington,Bed and breakfast,Private room,2,1,1,1,Real Bed,100,,2,30,3,1125,0,,f,flexible
f,1,t,Hennepin,Condominium,Entire home/apt,2,1,2,3,Real Bed,50,650,1,0,60,120,1,100,t,strict_14_with_grace_period
t,1,f,Ramsey,House,Entire home/apt,8,2,3,4,Real Bed,250,300,5,15,3,365,41,98,t,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,2,,1,1,Real Bed,40,,2,10,1,1125,63,91,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,3,,3,3,Real Bed,250,,1,0,1,1125,0,,f,flexible
f,2,t,Hennepin,House,Entire home/apt,6,1,4,4,Real Bed,138,0,2,15,2,1125,65,90,f,moderate
f,1,t,Hennepin,Guest suite,Entire home/apt,4,1,2,2,Real Bed,135,600,2,35,2,60,222,99,t,flexible
f,1,f,Washington,House,Entire home/apt,4,1,3,4,Real Bed,130,,4,15,2,180,54,96,f,flexible
f,41,f,Anoka,House,Entire home/apt,16,4,10,16,Real Bed,706,900,12,5,2,366,0,,f,strict_14_with_grace_period
f,1,t,Ramsey,House,Entire home/apt,6,3,3,4,Real Bed,98,100,1,0,3,365,7,100,f,flexible
f,1,t,Hennepin,House,Private room,2,1,1,1,Real Bed,85,,1,40,2,10,41,97,f,moderate
t,1,f,Hennepin,Apartment,Entire home/apt,6,1,1,3,Real Bed,89,200,2,15,2,365,131,96,f,strict_14_with_grace_period
t,6,f,Ramsey,Bed and breakfast,Private room,2,1,1,1,Real Bed,195,0,2,35,1,1125,6,97,f,strict_14_with_grace_period
t,2,t,Hennepin,House,Entire home/apt,10,3,4,7,Real Bed,599,350,6,20,3,700,29,96,f,moderate
